,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TEST FILE,,CBS,,,,,ICR,,,,,ICTS,,,,,ICTS+ID,,,,,X*,,,,,,
,,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,,
,WH2_2_1/11.json,,Timeout 10m,Timeout 10m,Timeout 10m,243.4MB,,Timeout 10m,Timeout 10m,Timeout 10m,241.2MB,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Timeout 10m,Timeout 10m,Timeout 10m,48.9MB,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WH2_2_2/0.json,,21.4414,16,26,0.0MB,,27.27,16,26,0.0MB,,27.5231,16,26,0.0MB,,49.8304,16,26,0.0MB,,21.2905,16,26,0.0MB,,,
,WH2_2_2/1.json,,0.216321,10,17,0.0MB,,0.30594,10,17,0.0MB,,3.17115,10,17,0.0MB,,0.42026,10,17,0.0MB,,0.234695,10,17,0.0MB,,,
,WH2_2_2/2.json,,342.201,46,92,8.0MB,,317.833,46,92,7.9MB,,Solution is not valid,Solution is not valid,Solution is not valid,Solution is not valid,,Solution is not valid,Solution is not valid,Solution is not valid,Solution is not valid,,309.185,46,92,8.0MB,,,
,WH2_2_2/3.json,,Timeout 10m,Timeout 10m,Timeout 10m,282.3MB,,Timeout 10m,Timeout 10m,Timeout 10m,280.0MB,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Timeout 10m,Timeout 10m,Timeout 10m,286.8MB,,,
,WH2_2_2/4.json,,274.067,21,61,7.9MB,,318.598,21,61,8.0MB,,848.08,22,60,9.1MB,,1535.34,22,60,9.5MB,,423.925,21,61,8.1MB,,,
,WH2_2_2/5.json,,5453.86,19,68,12.6MB,,5448.49,19,68,12.8MB,,5961.46,19,68,14.2MB,,12071.7,19,68,14.6MB,,5453.86,19,68,26.4MB,,,
,WH2_2_2/6.json,,Timeout 10m,Timeout 10m,Timeout 10m,262.6MB,,Timeout 10m,Timeout 10m,Timeout 10m,261.2MB,,Timeout 10m,Timeout 10m,Timeout 10m,61.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,62.4MB,,Timeout 10m,Timeout 10m,Timeout 10m,129.5MB,,,
,WH2_2_2/7.json,,Timeout 10m,Timeout 10m,Timeout 10m,264.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,264.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,131.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,131.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,261.6MB,,,
